Target Value of 0 = negative
Target Value of 1 = positive
Target Value of u = unclassified (Advanced Classification Mode)

Ch1Amplitude,Ch2Amplitude,Ch3Amplitude,Ch4Amplitude,Ch5Amplitude,Ch6Amplitude,Bd,IPC,
1480.481,3198.664,-29.63388,-1.779167,267.4578,53.50205,0,0,
1288.225,3412.356,-7.725675,82.55299,269.5025,50.83205,0,0,
1569.337,3164.732,-25.55751,5.579924,283.3864,29.53398,0,0,
1293.305,3409.115,-2.736485,-65.83115,313.6637,10.85424,0,0,
1422.361,3196.979,20.05082,-4.316497,252.2569,51.02758,0,0,
1418.879,3393.662,-30.7952,-21.83702,244.6074,90.53889,0,0,
1406.061,3290.235,-24.15946,-38.94894,292.7115,28.72369,0,0,
1323.207,3365.813,-7.375791,-19.8313,165.1098,109.511,0,0,
1405.65,3284.675,-5.284765,6.142015,249.3016,49.77929,0,0,
1339.918,3371.484,-17.06986,38.96213,277.4248,20.819,0,0,
1375.156,3401.239,-8.821758,-28.96357,254.804,79.68318,0,0,
1355.317,3300.188,-40.88863,20.86269,234.302,52.83335,0,0,
1511.227,3406.704,-39.57718,-5.415519,196.1891,72.86194,0,0,
1490.852,3233.36,-5.8307,-2.26252,262.546,31.62128,0,0,
1390.289,3273.09,-17.60467,-38.14718,232.6066,65.02874,0,0,
1385.939,3346.681,-11.60758,0.8431562,151.1591,105.172,0,0,
1316.665,3333.058,-9.56833,33.64785,219.3666,91.85912,0,0,
1371.197,3320.073,0.04907349,5.681515,265.5468,24.49454,0,0,
1356.333,3237.677,-7.247247,-6.907061,264.2961,23.6373,0,0,
1354.436,3242.394,-2.216439,6.636612,263.779,12.02805,0,0,
1411.266,3232.663,7.168179,14.48936,275.8118,4.916028,0,0,
1332.253,3327.307,-39.45969,28.30004,276.0151,-23.54247,0,0,
1310.94,3298.161,-6.219156,13.02548,232.8929,53.70707,0,0,
1517.644,2990.183,-20.87246,14.74592,212.183,95.1283,0,0,
