Target Value of 0 = negative
Target Value of 1 = positive
Target Value of u = unclassified (Advanced Classification Mode)

Ch1Amplitude,Ch2Amplitude,Ch3Amplitude,Ch4Amplitude,Ch5Amplitude,Ch6Amplitude,Bd,IPC,
231.0365,1681.224,25.84812,-1.771509,216.9731,-8.058018,0,0,
328.2045,1734.808,8.698797,2.004883,136.494,61.60225,0,0,
249.1538,1836.879,14.27274,16.21607,123.4693,60.34113,0,0,
260.9549,2209.932,-18.63205,-57.87985,104.9666,107.496,0,0,
277.2224,2066.287,-2.121632,16.73635,123.0187,62.38098,0,0,
320.9991,2071.477,-5.55135,33.72077,203.8459,0.7369137,0,0,
232.0443,1767.168,-7.765896,-2.698077,117.5204,22.65919,0,0,
2755.64,2123.927,10.35432,-27.94983,182.7886,19.98054,1,0,
213.8047,1709.336,-14.90106,-19.98642,74.52557,119.8389,0,0,
283.7823,1939.739,-4.941822,-13.38716,114.5788,59.05357,0,0,
2441.033,2000.978,-17.14932,-14.22525,186.4255,-13.91585,1,0,
329.4428,1869.427,-19.38427,-40.46231,139.1877,33.54661,0,0,
235.306,2284.362,-12.18271,88.44485,190.436,0.517621,0,0,
295.0546,1851.156,-25.00256,13.58706,119.5163,60.75461,0,0,
283.8679,1966.782,5.638556,-13.03487,115.2894,63.84119,0,0,
354.384,2432.272,-9.822254,57.4039,198.3546,20.23135,0,0,
247.912,1596.751,-5.402866,-24.44912,179.6568,-15.27286,0,0,
262.102,1996.358,-34.19574,-4.179561,127.1897,82.4136,0,0,
254.453,2098.339,-12.96539,-9.203012,137.6506,88.74717,0,0,
302.8184,2010.632,5.814721,-8.897587,228.2388,8.110595,0,0,
305.2185,1983.738,-3.83907,6.187225,123.1461,36.36669,0,0,
260.7492,2125.24,-10.41263,30.67156,162.8426,80.68898,0,0,
374.8395,2092.514,17.70592,1.261716,210.1946,9.448642,0,0,
240.2283,1714.624,-16.92816,-40.49203,179.7023,5.934021,0,0,
264.426,2194.889,11.81522,-14.71088,303.8554,-63.70351,0,0,
650.5703,1575.129,1.463594,51.25089,77.83125,29.91574,0,0,
236.5471,2116.429,8.110514,-11.22354,253.6814,-33.99099,0,0,
231.927,1765.033,-18.39035,-17.67407,92.92206,74.36947,0,0,
216.8599,1666.063,-39.03066,4.753425,192.5873,26.56138,0,0,
271.9545,1667.335,-12.94516,-37.57021,108.1504,71.79305,0,0,
246.5546,2158.022,23.82412,0.6369768,123.511,52.38424,0,0,
276.1701,2012.171,-24.50331,-25.74138,164.994,59.17515,0,0,
294.1324,1878.022,-24.56425,-2.024738,197.6794,17.47813,0,0,
320.4382,2380.312,12.56534,-3.195614,149.9805,26.31135,0,0,
278.3824,1806.755,-1.528659,-8.259701,242.5744,-9.942655,0,0,
283.2043,1977.397,-12.15795,-2.297637,139.5912,79.68409,0,0,
345.1405,2004.985,-4.490002,26.15419,243.5612,31.8115,0,0,
179.015,1763.93,6.359478,-21.49252,116.1818,40.54455,0,0,
286.9768,1795.217,-5.406168,-12.71638,162.5494,54.13717,0,0,
376.6338,1987.585,9.006038,-13.62033,202.2733,-6.84808,0,0,
211.5201,1799.033,-34.16116,-36.98897,2.150168,146.0627,0,0,
305.71,1843.931,-23.8673,-13.12939,159.6963,22.55592,0,0,
286.5036,2144.273,16.5034,-1.492659,174.4382,14.10734,0,0,
