Target Value of 0 = negative
Target Value of 1 = positive
Target Value of u = unclassified (Advanced Classification Mode)

Ch1Amplitude,Ch2Amplitude,Ch3Amplitude,Ch4Amplitude,Ch5Amplitude,Ch6Amplitude,Bd,IPC,
335.1896,2781.647,-15.72416,-23.56865,290.444,52.99946,0,0,
338.5543,2712.691,-6.487483,-63.30191,264.4955,32.75279,0,0,
336.097,2779.54,-53.21391,60.4627,211.0366,95.70406,0,0,
268.8777,2826.507,6.046555,-45.68927,232.5486,42.49967,0,0,
366.2731,2787.852,-47.52967,-32.46203,130.0528,128.9992,0,0,
312.4979,2903.606,-9.152394,3.596763,300.369,-11.51897,0,0,
316.1837,2738.365,-36.70874,43.2111,236.9054,54.41046,0,0,
299.4474,2790.401,38.94355,-14.5276,254.5949,7.493822,0,0,
361.6203,2781.434,36.30038,-20.9971,262.8679,26.31719,0,0,
439.9328,2710.628,22.69841,17.23003,209.5541,40.94443,0,0,
342.061,2777.199,-13.66732,-13.45295,186.6587,62.62874,0,0,
375.0411,2736.29,-7.060846,-11.57131,290.2614,-15.04422,0,0,
382.4474,2788.657,1.358989,5.322365,295.5567,-9.209611,0,0,
341.9677,2744.044,-33.35025,18.26868,177.5036,35.76171,0,0,
325.2091,2631.485,-47.61239,-9.279711,241.3517,85.91761,0,0,
318.2229,2703.601,-11.46246,36.15928,203.6324,32.80523,0,0,
349.3593,2822.398,-58.24902,-29.06717,145.131,128.453,0,0,
337.4878,2699.004,8.540038,2.858178,210.6058,65.09256,0,0,
357.9532,2736.747,6.408857,-8.449278,187.3611,74.46647,0,0,
317.9845,2727.52,-25.48114,57.73457,264.7271,35.73159,0,0,
361.2882,2578.588,3.541625,43.7329,242.2816,46.57249,0,0,
268.0512,2787.893,3.861318,35.75623,281.9781,16.49495,0,0,
335.688,2752.73,-28.54638,-33.7155,204.1818,83.5677,0,0,
331.7005,2603.694,11.06241,3.566952,238.7103,8.109261,0,0,
323.8651,2678.156,-15.72377,46.30249,266.9658,-7.824968,0,0,
299.6553,2744.79,7.030715,-22.411,222.7868,81.25368,0,0,
279.5691,2761.545,-16.38091,-8.433738,324.8623,-13.84666,0,0,
369.9771,2694.008,-8.316792,31.31576,285.0517,15.12467,0,0,
